,iso_code,continent,location,date_,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand,positive_rate,people_vaccinated,population,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,day_num,school_closures,date
36764,ITA,Europe,Italy,02/19/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,20,0,2020-02-19
69969,SWE,Europe,Sweden,02/19/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,19,0,2020-02-19
23624,ESP,Europe,Spain,02/19/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,19,0,2020-02-19
26104,FRA,Europe,France,02/19/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,27,0,2020-02-19
23625,ESP,Europe,Spain,02/20/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,20,0,2020-02-20
19392,DEU,Europe,Germany,02/20/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,26,0,2020-02-20
26105,FRA,Europe,France,02/20/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,28,0,2020-02-20
36765,ITA,Europe,Italy,02/20/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,21,0,2020-02-20
69970,SWE,Europe,Sweden,02/20/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,20,0,2020-02-20
69971,SWE,Europe,Sweden,02/21/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,21,0,2020-02-21
23626,ESP,Europe,Spain,02/21/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,21,0,2020-02-21
19393,DEU,Europe,Germany,02/21/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,27,0,2020-02-21
26106,FRA,Europe,France,02/21/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,29,0,2020-02-21
36766,ITA,Europe,Italy,02/21/2020,0.281,0.017,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,22,0,2020-02-21
19394,DEU,Europe,Germany,02/22/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,28,0,2020-02-22
26107,FRA,Europe,France,02/22/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,30,0,2020-02-22
23627,ESP,Europe,Spain,02/22/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,22,0,2020-02-22
36767,ITA,Europe,Italy,02/22/2020,0.695,0.017,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,23,0,2020-02-22
69972,SWE,Europe,Sweden,02/22/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,22,0,2020-02-22
23628,ESP,Europe,Spain,02/23/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,46.754783,93.105,45.5,34272.36,2.97,83.56,23,0,2020-02-23
69973,SWE,Europe,Sweden,02/23/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,23,0,2020-02-23
19395,DEU,Europe,Germany,02/23/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,83.783945,237.016,46.6,45229.245,8.0,81.33,29,0,2020-02-23
36768,ITA,Europe,Italy,02/23/2020,1.538,0.017,2.821,0.061,5890888.0,60.461828,205.859,47.9,35220.084,3.18,83.51,24,3,2020-02-23
26108,FRA,Europe,France,02/23/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,31,0,2020-02-23
26109,FRA,Europe,France,02/24/2020,0.0,0.0,2.821,0.061,5890888.0,67.564251,122.578,42.0,38605.671,5.98,82.66,32,0,2020-02-24
69974,SWE,Europe,Sweden,02/24/2020,0.0,1.6400000000000001,2.821,0.061,5890888.0,10.09927,24.718,41.0,46949.283,2.22,82.8,24,0,2020-02-24
